File	sample.id	experiment	org	epd.1	epd	sample.1	sample	cell	BAM_File_Size
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_1-36161126/alignment_results/DvH_03_1-36161126_marked.bam	single-cells-dvh-03-1	single-cells	dvh	results_03_2	03	DvH_03_1-36161126	DvH_03_1	1	686.47M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_10-36153125/alignment_results/DvH_03_10-36153125_marked.bam	single-cells-dvh-03-10	single-cells	dvh	results_03_2	03	DvH_03_10-36153125	DvH_03_10	10	  1.31G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_11-36160126/alignment_results/DvH_03_11-36160126_marked.bam	single-cells-dvh-03-11	single-cells	dvh	results_03_2	03	DvH_03_11-36160126	DvH_03_11	11	954.16M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_12-36164128/alignment_results/DvH_03_12-36164128_marked.bam	single-cells-dvh-03-12	single-cells	dvh	results_03_2	03	DvH_03_12-36164128	DvH_03_12	12	  1.11G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_13-36165129/alignment_results/DvH_03_13-36165129_marked.bam	single-cells-dvh-03-13	single-cells	dvh	results_03_2	03	DvH_03_13-36165129	DvH_03_13	13	619.52M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_14-36161127/alignment_results/DvH_03_14-36161127_marked.bam	single-cells-dvh-03-14	single-cells	dvh	results_03_2	03	DvH_03_14-36161127	DvH_03_14	14	617.04M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_15-36166130/alignment_results/DvH_03_15-36166130_marked.bam	single-cells-dvh-03-15	single-cells	dvh	results_03_2	03	DvH_03_15-36166130	DvH_03_15	15	  1.53G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_16-36162127/alignment_results/DvH_03_16-36162127_marked.bam	single-cells-dvh-03-16	single-cells	dvh	results_03_2	03	DvH_03_16-36162127	DvH_03_16	16	476.02M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_17-36163128/alignment_results/DvH_03_17-36163128_marked.bam	single-cells-dvh-03-17	single-cells	dvh	results_03_2	03	DvH_03_17-36163128	DvH_03_17	17	  1.22G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_18-36162128/alignment_results/DvH_03_18-36162128_marked.bam	single-cells-dvh-03-18	single-cells	dvh	results_03_2	03	DvH_03_18-36162128	DvH_03_18	18	768.11M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_19-36149120/alignment_results/DvH_03_19-36149120_marked.bam	single-cells-dvh-03-19	single-cells	dvh	results_03_2	03	DvH_03_19-36149120	DvH_03_19	19	899.21M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_2-36151118/alignment_results/DvH_03_2-36151118_marked.bam	single-cells-dvh-03-2	single-cells	dvh	results_03_2	03	DvH_03_2-36151118	DvH_03_2	2	693.07M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_20-36167131/alignment_results/DvH_03_20-36167131_marked.bam	single-cells-dvh-03-20	single-cells	dvh	results_03_2	03	DvH_03_20-36167131	DvH_03_20	20	860.09M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_22-36158124/alignment_results/DvH_03_22-36158124_marked.bam	single-cells-dvh-03-22	single-cells	dvh	results_03_2	03	DvH_03_22-36158124	DvH_03_22	22	955.91M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_23-36161128/alignment_results/DvH_03_23-36161128_marked.bam	single-cells-dvh-03-23	single-cells	dvh	results_03_2	03	DvH_03_23-36161128	DvH_03_23	23	551.43M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_24-36154120/alignment_results/DvH_03_24-36154120_marked.bam	single-cells-dvh-03-24	single-cells	dvh	results_03_2	03	DvH_03_24-36154120	DvH_03_24	24	646.86M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_25-36153127/alignment_results/DvH_03_25-36153127_marked.bam	single-cells-dvh-03-25	single-cells	dvh	results_03_2	03	DvH_03_25-36153127	DvH_03_25	25	376.98M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_26-36158125/alignment_results/DvH_03_26-36158125_marked.bam	single-cells-dvh-03-26	single-cells	dvh	results_03_2	03	DvH_03_26-36158125	DvH_03_26	26	590.49M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_27-36151119/alignment_results/DvH_03_27-36151119_marked.bam	single-cells-dvh-03-27	single-cells	dvh	results_03_2	03	DvH_03_27-36151119	DvH_03_27	27	  1.08G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_28-36160127/alignment_results/DvH_03_28-36160127_marked.bam	single-cells-dvh-03-28	single-cells	dvh	results_03_2	03	DvH_03_28-36160127	DvH_03_28	28	384.01M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_29-36150121/alignment_results/DvH_03_29-36150121_marked.bam	single-cells-dvh-03-29	single-cells	dvh	results_03_2	03	DvH_03_29-36150121	DvH_03_29	29	  1G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_3-36165130/alignment_results/DvH_03_3-36165130_marked.bam	single-cells-dvh-03-3	single-cells	dvh	results_03_2	03	DvH_03_3-36165130	DvH_03_3	3	651.98M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_30-36167132/alignment_results/DvH_03_30-36167132_marked.bam	single-cells-dvh-03-30	single-cells	dvh	results_03_2	03	DvH_03_30-36167132	DvH_03_30	30	  1.27G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_31-36152118/alignment_results/DvH_03_31-36152118_marked.bam	single-cells-dvh-03-31	single-cells	dvh	results_03_2	03	DvH_03_31-36152118	DvH_03_31	31	986.45M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_32-36149121/alignment_results/DvH_03_32-36149121_marked.bam	single-cells-dvh-03-32	single-cells	dvh	results_03_2	03	DvH_03_32-36149121	DvH_03_32	32	886.2M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_33-36153128/alignment_results/DvH_03_33-36153128_marked.bam	single-cells-dvh-03-33	single-cells	dvh	results_03_2	03	DvH_03_33-36153128	DvH_03_33	33	685.09M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_34-36161129/alignment_results/DvH_03_34-36161129_marked.bam	single-cells-dvh-03-34	single-cells	dvh	results_03_2	03	DvH_03_34-36161129	DvH_03_34	34	961.33M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_35-36149122/alignment_results/DvH_03_35-36149122_marked.bam	single-cells-dvh-03-35	single-cells	dvh	results_03_2	03	DvH_03_35-36149122	DvH_03_35	35	756.49M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_36-36162129/alignment_results/DvH_03_36-36162129_marked.bam	single-cells-dvh-03-36	single-cells	dvh	results_03_2	03	DvH_03_36-36162129	DvH_03_36	36	597.67M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_37-36165131/alignment_results/DvH_03_37-36165131_marked.bam	single-cells-dvh-03-37	single-cells	dvh	results_03_2	03	DvH_03_37-36165131	DvH_03_37	37	382.22M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_38-36161130/alignment_results/DvH_03_38-36161130_marked.bam	single-cells-dvh-03-38	single-cells	dvh	results_03_2	03	DvH_03_38-36161130	DvH_03_38	38	768.07M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_39-36163129/alignment_results/DvH_03_39-36163129_marked.bam	single-cells-dvh-03-39	single-cells	dvh	results_03_2	03	DvH_03_39-36163129	DvH_03_39	39	  1.24G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_4-36155121/alignment_results/DvH_03_4-36155121_marked.bam	single-cells-dvh-03-4	single-cells	dvh	results_03_2	03	DvH_03_4-36155121	DvH_03_4	4	496.21M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_40-36164129/alignment_results/DvH_03_40-36164129_marked.bam	single-cells-dvh-03-40	single-cells	dvh	results_03_2	03	DvH_03_40-36164129	DvH_03_40	40	806.47M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_41-36153129/alignment_results/DvH_03_41-36153129_marked.bam	single-cells-dvh-03-41	single-cells	dvh	results_03_2	03	DvH_03_41-36153129	DvH_03_41	41	  1.04G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_42-36151120/alignment_results/DvH_03_42-36151120_marked.bam	single-cells-dvh-03-42	single-cells	dvh	results_03_2	03	DvH_03_42-36151120	DvH_03_42	42	  1.66G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_43-36162130/alignment_results/DvH_03_43-36162130_marked.bam	single-cells-dvh-03-43	single-cells	dvh	results_03_2	03	DvH_03_43-36162130	DvH_03_43	43	  1.25G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_44-36154121/alignment_results/DvH_03_44-36154121_marked.bam	single-cells-dvh-03-44	single-cells	dvh	results_03_2	03	DvH_03_44-36154121	DvH_03_44	44	  1.16G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_45-36152119/alignment_results/DvH_03_45-36152119_marked.bam	single-cells-dvh-03-45	single-cells	dvh	results_03_2	03	DvH_03_45-36152119	DvH_03_45	45	655.08M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_46-36149123/alignment_results/DvH_03_46-36149123_marked.bam	single-cells-dvh-03-46	single-cells	dvh	results_03_2	03	DvH_03_46-36149123	DvH_03_46	46	  1.11G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_47-36161131/alignment_results/DvH_03_47-36161131_marked.bam	single-cells-dvh-03-47	single-cells	dvh	results_03_2	03	DvH_03_47-36161131	DvH_03_47	47	  1.08G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_48-36151121/alignment_results/DvH_03_48-36151121_marked.bam	single-cells-dvh-03-48	single-cells	dvh	results_03_2	03	DvH_03_48-36151121	DvH_03_48	48	802.34M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_49-36150122/alignment_results/DvH_03_49-36150122_marked.bam	single-cells-dvh-03-49	single-cells	dvh	results_03_2	03	DvH_03_49-36150122	DvH_03_49	49	398.54M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_5-36150123/alignment_results/DvH_03_5-36150123_marked.bam	single-cells-dvh-03-5	single-cells	dvh	results_03_2	03	DvH_03_5-36150123	DvH_03_5	5	  1.11G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_50-36160129/alignment_results/DvH_03_50-36160129_marked.bam	single-cells-dvh-03-50	single-cells	dvh	results_03_2	03	DvH_03_50-36160129	DvH_03_50	50	882.53M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_51-36163131/alignment_results/DvH_03_51-36163131_marked.bam	single-cells-dvh-03-51	single-cells	dvh	results_03_2	03	DvH_03_51-36163131	DvH_03_51	51	926.07M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_52-36166132/alignment_results/DvH_03_52-36166132_marked.bam	single-cells-dvh-03-52	single-cells	dvh	results_03_2	03	DvH_03_52-36166132	DvH_03_52	52	290.22M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_53-36160130/alignment_results/DvH_03_53-36160130_marked.bam	single-cells-dvh-03-53	single-cells	dvh	results_03_2	03	DvH_03_53-36160130	DvH_03_53	53	  1.26G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_54-36152120/alignment_results/DvH_03_54-36152120_marked.bam	single-cells-dvh-03-54	single-cells	dvh	results_03_2	03	DvH_03_54-36152120	DvH_03_54	54	  1.43G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_55-36163133/alignment_results/DvH_03_55-36163133_marked.bam	single-cells-dvh-03-55	single-cells	dvh	results_03_2	03	DvH_03_55-36163133	DvH_03_55	55	  1.12G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_56-36150126/alignment_results/DvH_03_56-36150126_marked.bam	single-cells-dvh-03-56	single-cells	dvh	results_03_2	03	DvH_03_56-36150126	DvH_03_56	56	  1.07G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_57-36166134/alignment_results/DvH_03_57-36166134_marked.bam	single-cells-dvh-03-57	single-cells	dvh	results_03_2	03	DvH_03_57-36166134	DvH_03_57	57	662.43M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_58-36160132/alignment_results/DvH_03_58-36160132_marked.bam	single-cells-dvh-03-58	single-cells	dvh	results_03_2	03	DvH_03_58-36160132	DvH_03_58	58	  1.24G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_59-36166135/alignment_results/DvH_03_59-36166135_marked.bam	single-cells-dvh-03-59	single-cells	dvh	results_03_2	03	DvH_03_59-36166135	DvH_03_59	59	787.57M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_6-36162132/alignment_results/DvH_03_6-36162132_marked.bam	single-cells-dvh-03-6	single-cells	dvh	results_03_2	03	DvH_03_6-36162132	DvH_03_6	6	759.4M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_60-36167134/alignment_results/DvH_03_60-36167134_marked.bam	single-cells-dvh-03-60	single-cells	dvh	results_03_2	03	DvH_03_60-36167134	DvH_03_60	60	524.29M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_61-36161133/alignment_results/DvH_03_61-36161133_marked.bam	single-cells-dvh-03-61	single-cells	dvh	results_03_2	03	DvH_03_61-36161133	DvH_03_61	61	335.72M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_62-36155123/alignment_results/DvH_03_62-36155123_marked.bam	single-cells-dvh-03-62	single-cells	dvh	results_03_2	03	DvH_03_62-36155123	DvH_03_62	62	611.29M
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_63-36154123/alignment_results/DvH_03_63-36154123_marked.bam	single-cells-dvh-03-63	single-cells	dvh	results_03_2	03	DvH_03_63-36154123	DvH_03_63	63	  1.23G
/Volumes/omics4tb/sturkarslan/dvh-coculture-rnaseq/dvh-single-cells/results_03_2/dvh/DvH_03_64-36149125/alignment_results/DvH_03_64-36149125_marked.bam	single-cells-dvh-03-64	single-cells	dvh	results_03_2	03	DvH_03_64-36149125	DvH_03_64	64	  1G
