name	x	isgood	wasmodified	windowsize	rate	rate_sd	OD	OD_sd	x2	x3	Exp	Rack	Tube	line	dvh_strain	mmp_strain	pairing_type	Notes
UA3.0.0.Anc & UA3.0.0.Anc	1	0	0	21	0.036269867	0.000587574	0.153	0.001	0.036269867	#N/A	132	H	1	UA3.0.0	Anc	Anc	Dv-A_Mm-A	CCMA
UA3.0.0.Anc & UA3.0.0.Anc	0	0	0	17	0.053752934	0.00172307	0.4026	0.003361547	0.053752934	0.4026	132	H	2	UA3.0.0	Anc	Anc	Dv-A_Mm-A	CCMA
UA3.0.0.Anc & UA3.0.0.Anc	0	0	0	16	0.055450165	0.001634273	0.4036	0.008264381	0.055450165	0.4036	132	H	3	UA3.0.0	Anc	Anc	Dv-A_Mm-A	CCMA
UA3.0.0.Anc & UA3.0.0.Anc	0	0	0	19	0.061337965	0.001101639	0.4062	0.00130384	0.061337965	0.4062	132	H	4	UA3.0.0	Anc	Anc	Dv-A_Mm-A	CCMA
UA3.0.0.Anc & UA3.0.0.Anc	0	0	0	15	0.062757799	0.001982461	0.374	0.001870829	0.062757799	0.374	132	H	5	UA3.0.0	Anc	Anc	Dv-A_Mm-A	CCMA
UA3.0.0.Anc & UA3.0.0.Anc	0	0	0	11	0.056856248	0.000825932	0.3914	0.00219089	0.056856248	0.3914	132	H	6	UA3.0.0	Anc	Anc	Dv-A_Mm-A	CCMA
UA3.152.03.D01 & UA3.152.03.Anc	0	0	0	13	0.097222111	0.001222645	0.1772	0.10331602	0.097222111	#N/A	139	D	1	UA3.152.03	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D01 & UA3.152.03.Anc	0	0	0	19	0.101135374	0.002526156	0.4104	0.00181659	0.101135374	0.4104	139	D	2	UA3.152.03	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D01 & UA3.152.03.Anc	0	0	1	50	0.100386127	0.001081108	0.4196	0.001140175	0.100386127	0.4196	139	D	3	UA3.152.03	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D01 & UA3.152.03.Anc	0	0	0	13	0.102923418	0.001950176	0.504	0.321449063	0.102923418	#N/A	139	D	4	UA3.152.03	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D01 & UA3.152.03.M01	0	0	0	56	0.103772109	0.003084072	0.5378	0.015336232	0.103772109	0.5378	71	A	1	UA3.152.03	D01	M01	Dv-E_Mm-E	Coculture Media
UA3.152.03.D01 & UA3.152.03.M01	0	0	0	11	0.135267444	0.001967	0.5598	0.00083666	0.135267444	0.5598	71	A	2	UA3.152.03	D01	M01	Dv-E_Mm-E	Coculture Media
UA3.152.03.D01 & UA3.152.03.M01	0	0	1	30	0.116130244	0.001561192	0.5512	0.005263079	0.116130244	0.5512	71	A	3	UA3.152.03	D01	M01	Dv-E_Mm-E	Coculture Media
UA3.152.03.D01 & UA3.152.03.M01	0	0	0	8	0.138860433	0.006638028	0.5452	0.000447214	0.138860433	0.5452	71	A	5	UA3.152.03	D01	M01	Dv-E_Mm-E	Coculture Media
UA3.152.03.D01 & UA3.152.03.M01	0	0	0	7	0.147118561	0.001983864	0.5476	0.001341641	0.147118561	0.5476	71	A	6	UA3.152.03	D01	M01	Dv-E_Mm-E	Coculture Media
UA3.152.03.D01 & UA3.152.03.M01	0	0	0	36	0.107935237	0.001280012	0.5282	0.00130384	0.107935237	0.5282	3	A	1	UA3.152.03	D01	M01	Dv-E_Mm-E	
UA3.152.03.D01 & UA3.152.03.M02	0	0	0	26	0.231939055	0.005368644	0.5348	0.00148324	0.231939055	0.5348	3	A	2	UA3.152.03	D01	M02	Dv-E_Mm-E	
UA3.152.03.D01 & UA3.152.03.M03	0	0	0	12	0.145800431	0.002555011	0.5352	0.00083666	0.145800431	0.5352	3	A	3	UA3.152.03	D01	M03	Dv-E_Mm-E	
UA3.152.03.D02 & UA3.152.03.Anc	0	0	0	13	0.105432875	0.001649689	0.4244	0.002302173	0.105432875	0.4244	139	D	5	UA3.152.03	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D02 & UA3.152.03.Anc	0	0	1	30	0.098614459	0.000440163	0.4324	0.002302173	0.098614459	0.4324	139	D	6	UA3.152.03	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D02 & UA3.152.03.Anc	0	0	0	20	0.091464058	0.002279092	0.429	0.003391165	0.091464058	0.429	139	D	7	UA3.152.03	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D02 & UA3.152.03.Anc	0	0	1	30	0.103503822	0.000736902	0.429	0.002	0.103503822	0.429	139	D	8	UA3.152.03	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D02 & UA3.152.03.M01	0	0	0	24	0.221542363	0.00426647	0.5356	0.000547723	0.221542363	0.5356	3	A	4	UA3.152.03	D02	M01	Dv-E_Mm-E	
UA3.152.03.D02 & UA3.152.03.M02	0	0	0	10	0.148776685	0.005523177	0.5436	0.001341641	0.148776685	0.5436	71	A	7	UA3.152.03	D02	M02	Dv-E_Mm-E	Coculture Media
UA3.152.03.D02 & UA3.152.03.M02	0	1	1	27	0.167848741	0.001991364	0.5664	0.000894427	#N/A	#N/A	71	B	1	UA3.152.03	D02	M02	Dv-E_Mm-E	Coculture Media
UA3.152.03.D02 & UA3.152.03.M02	0	0	0	32	0.162481961	0.007393767	0.5694	0.018501351	0.162481961	0.5694	71	B	2	UA3.152.03	D02	M02	Dv-E_Mm-E	Coculture Media
UA3.152.03.D02 & UA3.152.03.M02	0	1	1	20	0.199434137	0.00607826	0.551	0.000707107	#N/A	#N/A	71	B	4	UA3.152.03	D02	M02	Dv-E_Mm-E	Coculture Media
UA3.152.03.D02 & UA3.152.03.M02	0	0	0	11	0.147335689	0.001127295	0.5048	0.000447214	0.147335689	0.5048	71	B	5	UA3.152.03	D02	M02	Dv-E_Mm-E	Coculture Media
UA3.152.03.D02 & UA3.152.03.M02	0	0	0	27	0.128951882	0.001757194	0.5414	0.002302173	0.128951882	0.5414	3	A	5	UA3.152.03	D02	M02	Dv-E_Mm-E	
UA3.152.03.D02 & UA3.152.03.M03	0	0	0	18	0.117967849	0.002134334	0.5188	0.001643168	0.117967849	0.5188	3	A	6	UA3.152.03	D02	M03	Dv-E_Mm-E	
UA3.152.03.D03 & UA3.152.03.Anc	0	0	0	9	0.134075624	0.00384958	0.4564	0.001949359	0.134075624	0.4564	139	E	1	UA3.152.03	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D03 & UA3.152.03.Anc	0	0	0	11	0.124955196	0.001639045	0.4464	0.003435113	0.124955196	0.4464	139	E	2	UA3.152.03	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D03 & UA3.152.03.Anc	0	0	0	12	0.137214223	0.002544649	0.4522	0.001923538	0.137214223	0.4522	139	E	3	UA3.152.03	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D03 & UA3.152.03.Anc	0	0	0	11	0.12935158	0.002204772	0.442	0.001870829	0.12935158	0.442	139	E	4	UA3.152.03	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.03.D03 & UA3.152.03.M01	0	0	0	26	0.239724116	0.006271583	0.5404	0.001140175	0.239724116	0.5404	3	A	7	UA3.152.03	D03	M01	Dv-E_Mm-E	
UA3.152.03.D03 & UA3.152.03.M02	0	0	0	12	0.14577981	0.001770897	0.5358	0.00083666	0.14577981	0.5358	3	A	8	UA3.152.03	D03	M02	Dv-E_Mm-E	
UA3.152.03.D03 & UA3.152.03.M03	0	0	0	11	0.17082351	0.002259895	0.5344	0.001140175	0.17082351	0.5344	71	B	6	UA3.152.03	D03	M03	Dv-E_Mm-E	Coculture Media
UA3.152.03.D03 & UA3.152.03.M03	0	0	0	34	0.131636887	0.003339369	0.5666	0.004393177	0.131636887	0.5666	71	B	7	UA3.152.03	D03	M03	Dv-E_Mm-E	Coculture Media
UA3.152.03.D03 & UA3.152.03.M03	0	0	0	10	0.160593976	0.00614331	0.579	0.003082207	0.160593976	0.579	71	B	8	UA3.152.03	D03	M03	Dv-E_Mm-E	Coculture Media
UA3.152.03.D03 & UA3.152.03.M03	0	0	0	9	0.130412426	0.001302512	0.5716	0.001140175	0.130412426	0.5716	71	C	1	UA3.152.03	D03	M03	Dv-E_Mm-E	Coculture Media
UA3.152.03.D03 & UA3.152.03.M03	0	0	0	11	0.12139864	0.001650618	0.5336	0.039080686	0.12139864	0.5336	71	C	2	UA3.152.03	D03	M03	Dv-E_Mm-E	Coculture Media
UA3.152.03.D03 & UA3.152.03.M03	0	0	0	22	0.185304016	0.001991145	0.5448	0.00148324	0.185304016	0.5448	3	B	1	UA3.152.03	D03	M03	Dv-E_Mm-E	
UA3.152.09.Anc & UA3.152.09.M02	0	0	0	23	0.046195034	0.000886809	0.0772	0.002387467	0.046195034	0.0772	163	A	1	UA3.152.09	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.09.Anc & UA3.152.09.M02	0	0	0	14	0.073451101	0.00246142	0.089	0.000707107	0.073451101	0.089	163	A	2	UA3.152.09	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.09.Anc & UA3.152.09.M02	0	0	0	24	0.026368394	0.000808752	0.0474	0.000547723	0.026368394	0.0474	163	A	3	UA3.152.09	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.09.Anc & UA3.152.09.M02	1	0	1	50	0.058436883	0.000620443	0.0942	0.002387467	0.058436883	#N/A	162	A	1	UA3.152.09	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.09.Anc & UA3.152.09.M02	1	0	1	50	0.059391059	0.000325787	0.1172	0.004658326	0.059391059	#N/A	162	A	2	UA3.152.09	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.09.Anc & UA3.152.09.M02	1	0	1	30	0.056272611	0.000348367	0.117	0.004062019	0.056272611	#N/A	162	A	3	UA3.152.09	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.09.D01 & UA3.152.09.Anc	0	0	0	29	0.074409552	0.00145666	0.303	0.001414214	0.074409552	0.303	139	E	5	UA3.152.09	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D01 & UA3.152.09.Anc	0	0	0	18	0.083941302	0.001562171	0.305	0.002345208	0.083941302	0.305	139	E	6	UA3.152.09	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D01 & UA3.152.09.Anc	0	0	0	20	0.092963317	0.004030448	0.4402	0.401270732	0.092963317	#N/A	139	E	7	UA3.152.09	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D01 & UA3.152.09.Anc	1	1	1	39	0.369167744	0.038965438	0.92	1.24E-16	#N/A	#N/A	139	E	8	UA3.152.09	D01	Anc	Dv-E_Mm-A	CCMA
