sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8	assembly	fasta_file
HR2_1000_1K	HR2_1000_1K	HR2 of Desulfovibrio-Methanococcus co-culture at generation 1000	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 1000	fastq	HR2_152_S2_L001_R1_001.fastq	HR2_152_S2_L001_R2_001.fastq								
Coculture-Ancestor	Coculture-Ancestor	ancestral Desulfovibrio-Methanococcus  maripaludis S2	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from ancestral Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	fastq	Ancestor_1.fastq	Ancestor_2.fastq								
Dv-Ancestor-1	Dv-Ancestor-1	ancestral Desulfovibrio vulgaris str. Hildenborough	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from ancestral Desulfovibrio vulgaris str. Hildenborough	fastq	D1_1.fastq	D1_2.fastq								
Dv-Ancestor-2	Dv-Ancestor-2	ancestral Desulfovibrio vulgaris str. Hildenborough	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from ancestral Desulfovibrio vulgaris str. Hildenborough	fastq	D2_1.fastq	D2_2.fastq								
Mm-Ancestor-1	Mm-Ancestor-1	ancestral Methanococcus  maripaludis S2	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from ancestral Methanococcus maripaludis S2	fastq	M1_1.fastq	M1_2.fastq								
Mm-Ancestor-2	Mm-Ancestor-2	ancestral Methanococcus  maripaludis S2	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from ancestral Methanococcus maripaludis S2	fastq	M2_1.fastq	M2_2.fastq								
UE3_1000_CI_09_M02	UE3_1000_CI_09_M02	UE3 of Methanococcus at generation 1000 for clonal isolate M02 of EPD 09	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 09	bam	mmp_10_S54_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
UE3_1000_CI_10_D02	UE3_1000_CI_10_D02	UE3 of Desulfovibrioat generation 1000 for clonal isolate D02 of EPD 10	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 10	bam	dvh_11_S55_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
HR2_1000_CI_10_M02	HR2_1000_CI_10_M02	HR2 of Methanococcus at generation 1000 for clonal isolate M02 of EPD 10	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 10	bam	mmp_11_S55_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
UE3_1000_CI_02_D02	UE3_1000_CI_02_D02	UE3 of Desulfovibrioat generation 1000 for clonal isolate D02 of EPD 02	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 02	bam	dvh_12_S56_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
