biosample_name	line	generation	experiment	epd	isolate	biosample_organism	description
HR2_1000_1K	HR2	1000	1000-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 1000
Coculture-Ancestor_0_Anc	Coculture-Ancestor	0	Ancestors	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from ancestral Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2
Dv-Ancestor-1_0_Anc	Dv-Ancestor-1	0	Ancestors	NA	NA	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from ancestral Desulfovibrio vulgaris str. Hildenborough
Dv-Ancestor-2_0_Anc	Dv-Ancestor-2	0	Ancestors	NA	NA	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from ancestral Desulfovibrio vulgaris str. Hildenborough
Mm-Ancestor-1_0_Anc	Mm-Ancestor-1	0	Ancestors	NA	NA	Methanococcus maripaludis S2	Genomic DNA collected from ancestral Methanococcus maripaludis S2
Mm-Ancestor-2_0_Anc	Mm-Ancestor-2	0	Ancestors	NA	NA	Methanococcus maripaludis S2	Genomic DNA collected from ancestral Methanococcus maripaludis S2
UE3_1000_CI_09_M02	UE3	1000	Clonal-isolates	09	M02	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 09
UE3_1000_CI_10_D02	UE3	1000	Clonal-isolates	10	D02	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 10
HR2_1000_CI_10_M02	HR2	1000	Clonal-isolates	10	M02	Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 10
UE3_1000_CI_02_D02	UE3	1000	Clonal-isolates	02	D02	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 02
UE3_1000_CI_02_M02	UE3	1000	Clonal-isolates	02	M02	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 02
UE3_1000_CI_09_D01	UE3	1000	Clonal-isolates	09	D01	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 09
UE3_1000_CI_10_D03	UE3	1000	Clonal-isolates	10	D03	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 10
HR2_1000_CI_05_M02	HR2	1000	Clonal-isolates	05	M02	Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 05
HR2_1000_CI_10_D02	HR2	1000	Clonal-isolates	10	D02	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 10
HR2_1000_CI_01_M03	HR2	1000	Clonal-isolates	01	M03	Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 01
HR2_1000_CI_10_M01	HR2	1000	Clonal-isolates	10	M01	Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 10
UE3_1000_CI_02_D01	UE3	1000	Clonal-isolates	02	D01	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 02
HR2_1000_CI_05_D03	HR2	1000	Clonal-isolates	05	D03	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 05
