First_Pair_File	sample.id	experiment.x	sample.x	no.x	tmp1.x	Second_Pair_File	experiment.y	sample.y	no.y	tmp1.y	BAM_File	experiment	org	sample	no	biosample_name	epd	line	transfer	biosample_organism	generation	isolate	First_Pair_dir	Second_Pair_dir	BAM_dir	First_Pair_Size	Second_Pair_Size	BAM_Size	experiment_short
1000-gen/data/HR2/HR2_152_S2_L001_R1_001.fastq	1000-gen-HR2	1000-gen	HR2	HR2	NA	1000-gen/data/HR2/HR2_152_S2_L001_R2_001.fastq	1000-gen	HR2	HR2	NA	1000-gen/results/dvh/HR2/alignment_results/HR2_marked.bam	1000-gen	dvh	HR2	HR2	HR2_1000_1K	NA	HR2	152	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	1000	NA	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/1000-gen/data/HR2/HR2_152_S2_L001_R1_001.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/1000-gen/data/HR2/HR2_152_S2_L001_R2_001.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/1000-gen/results/dvh/HR2/alignment_results/HR2_marked.bam	   1.18G	  1.18G	954.02M	1K
1000-gen/data/HR2/HR2_152_S2_L001_R1_001.fastq	1000-gen-HR2	1000-gen	HR2	HR2	NA	1000-gen/data/HR2/HR2_152_S2_L001_R2_001.fastq	1000-gen	HR2	HR2	NA	1000-gen/results/mmp/HR2/alignment_results/HR2_marked.bam	1000-gen	mmp	HR2	HR2	HR2_1000_1K	NA	HR2	152	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	1000	NA	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/1000-gen/data/HR2/HR2_152_S2_L001_R1_001.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/1000-gen/data/HR2/HR2_152_S2_L001_R2_001.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/1000-gen/results/mmp/HR2/alignment_results/HR2_marked.bam	   1.18G	  1.18G	  1.07G	1K
Ancestors/Coculture-Ancestor/Ancestor_1.fastq	Ancestors-Coculture-Ancestor	Ancestors	Coculture-Ancestor	Coculture-Ancestor	NA	Ancestors/Coculture-Ancestor/Ancestor_2.fastq	Ancestors	Coculture-Ancestor	Coculture-Ancestor	NA	Ancestors/results/dvh/Coculture-Ancestor/Ancestor_1_marked.bam	Ancestors	dvh	Coculture-Ancestor	Coculture-Ancestor	Coculture-Ancestor_0_Anc	NA	Coculture-Ancestor	0	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	0	NA	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Coculture-Ancestor/Ancestor_1.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Coculture-Ancestor/Ancestor_2.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/results/dvh/Coculture-Ancestor/Ancestor_1_marked.bam	   5.54G	  5.54G	  7.02G	Anc
Ancestors/Coculture-Ancestor/Ancestor_1.fastq	Ancestors-Coculture-Ancestor	Ancestors	Coculture-Ancestor	Coculture-Ancestor	NA	Ancestors/Coculture-Ancestor/Ancestor_2.fastq	Ancestors	Coculture-Ancestor	Coculture-Ancestor	NA	Ancestors/results/mmp/Coculture-Ancestor/Ancestor_1_marked.bam	Ancestors	mmp	Coculture-Ancestor	Coculture-Ancestor	Coculture-Ancestor_0_Anc	NA	Coculture-Ancestor	0	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	0	NA	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Coculture-Ancestor/Ancestor_1.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Coculture-Ancestor/Ancestor_2.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/results/mmp/Coculture-Ancestor/Ancestor_1_marked.bam	   5.54G	  5.54G	  5.76G	Anc
Ancestors/Dv-Ancestor-1/D1_1.fastq	Ancestors-Dv-Ancestor-1	Ancestors	Dv-Ancestor-1	Dv-Ancestor-1	NA	Ancestors/Dv-Ancestor-1/D1_2.fastq	Ancestors	Dv-Ancestor-1	Dv-Ancestor-1	NA	Ancestors/results/dvh/Dv-Ancestor-1/D1_1_marked.bam	Ancestors	dvh	Dv-Ancestor-1	Dv-Ancestor-1	Dv-Ancestor-1_0_Anc	NA	Dv-Ancestor-1	0	Desulfovibrio vulgaris str. Hildenborough	0	NA	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Dv-Ancestor-1/D1_1.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Dv-Ancestor-1/D1_2.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/results/dvh/Dv-Ancestor-1/D1_1_marked.bam	   1.93G	  1.93G	  2.15G	Anc
Ancestors/Dv-Ancestor-2/D2_1.fastq	Ancestors-Dv-Ancestor-2	Ancestors	Dv-Ancestor-2	Dv-Ancestor-2	NA	Ancestors/Dv-Ancestor-2/D2_2.fastq	Ancestors	Dv-Ancestor-2	Dv-Ancestor-2	NA	Ancestors/results/dvh/Dv-Ancestor-2/D2_1_marked.bam	Ancestors	dvh	Dv-Ancestor-2	Dv-Ancestor-2	Dv-Ancestor-2_0_Anc	NA	Dv-Ancestor-2	0	Desulfovibrio vulgaris str. Hildenborough	0	NA	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Dv-Ancestor-2/D2_1.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Dv-Ancestor-2/D2_2.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/results/dvh/Dv-Ancestor-2/D2_1_marked.bam	   2.09G	  2.09G	  2.25G	Anc
Ancestors/Mm-Ancestor-1/M1_1.fastq	Ancestors-Mm-Ancestor-1	Ancestors	Mm-Ancestor-1	Mm-Ancestor-1	NA	Ancestors/Mm-Ancestor-1/M1_2.fastq	Ancestors	Mm-Ancestor-1	Mm-Ancestor-1	NA	Ancestors/results/mmp/Mm-Ancestor-1/M1_1_marked.bam	Ancestors	mmp	Mm-Ancestor-1	Mm-Ancestor-1	Mm-Ancestor-1_0_Anc	NA	Mm-Ancestor-1	0	Methanococcus maripaludis S2	0	NA	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Mm-Ancestor-1/M1_1.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Mm-Ancestor-1/M1_2.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/results/mmp/Mm-Ancestor-1/M1_1_marked.bam	   3.18G	  3.18G	  2.85G	Anc
Ancestors/Mm-Ancestor-2/M2_1.fastq	Ancestors-Mm-Ancestor-2	Ancestors	Mm-Ancestor-2	Mm-Ancestor-2	NA	Ancestors/Mm-Ancestor-2/M2_2.fastq	Ancestors	Mm-Ancestor-2	Mm-Ancestor-2	NA	Ancestors/results/mmp/Mm-Ancestor-2/M2_1_marked.bam	Ancestors	mmp	Mm-Ancestor-2	Mm-Ancestor-2	Mm-Ancestor-2_0_Anc	NA	Mm-Ancestor-2	0	Methanococcus maripaludis S2	0	NA	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Mm-Ancestor-2/M2_1.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/Mm-Ancestor-2/M2_2.fastq	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Ancestors/results/mmp/Mm-Ancestor-2/M2_1_marked.bam	   1.84G	  1.84G	  1.7G	Anc
Clonal-isolates/data/10_S54/10_S54_R1_001.fastq.gz	Clonal-isolates-UA3.152.09.M02	Clonal-isolates	UA3.152.09.M02	10	S54	Clonal-isolates/data/10_S54/10_S54_R2_001.fastq.gz	Clonal-isolates	UA3.152.09.M02	10	S54	Clonal-isolates/results/mmp/10_S54/alignment_results/10_S54_marked.bam	Clonal-isolates	mmp	UE3.152.09.M02	10	UE3_1000_CI_09_M02	09	UE3	152	Methanococcus maripaludis S2	1000	M02	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Clonal-isolates/data/10_S54/10_S54_R1_001.fastq.gz	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Clonal-isolates/data/10_S54/10_S54_R2_001.fastq.gz	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Clonal-isolates/results/mmp/10_S54/alignment_results/10_S54_marked.bam	 850.74M	955.35M	  3.59G	CI
Clonal-isolates/data/11_S55/11_S55_R1_001.fastq.gz	Clonal-isolates-UA3.152.10.D02	Clonal-isolates	UA3.152.10.D02	11	S55	Clonal-isolates/data/11_S55/11_S55_R2_001.fastq.gz	Clonal-isolates	UA3.152.10.D02	11	S55	Clonal-isolates/results/dvh/11_S55/alignment_results/11_S55_marked.bam	Clonal-isolates	dvh	UE3.152.10.D02	11	UE3_1000_CI_10_D02	10	UE3	152	Desulfovibrio vulgaris str. Hildenborough	1000	D02	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Clonal-isolates/data/11_S55/11_S55_R1_001.fastq.gz	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Clonal-isolates/data/11_S55/11_S55_R2_001.fastq.gz	/Volumes/omics4tb/sturkarslan/syntrophy_raw_sequences/Clonal-isolates/results/dvh/11_S55/alignment_results/11_S55_marked.bam	 982.48M	  1.08G	  3.51G	CI
