rate	yield	isolate_1	isolate_2	isolate_1_line	isolate_2_line	isolate_1_EPD	isolate_2_EPD	isolate_1_clone	isolate_2_clone	EPD	clone	pairing_type
0.041451089	0.528292309	UA3.152.03.*		UA3	UA3	3	3	*	*	3	bulk	EPD
0.040290231	0.530861592	UA3.152.03.*		UA3	UA3	3	3	*	*	3	bulk	EPD
0.039578297	0.562536433	UA3.152.09.*		UA3	UA3	9	9	*	*	9	bulk	EPD
0.036250596	0.550121708	UA3.152.09.*		UA3	UA3	9	9	*	*	9	bulk	EPD
0.039645333	0.536855367	UA3.152.09.*		UA3	UA3	9	9	*	*	9	bulk	EPD
0.034929791	0.518806024	UA3.152.03.D01	UA3.152.03.M01	UA3	UA3	3	3	D01	M01	3	1	Dv-E_Mm-E
0.034141776	0.529260721	UA3.152.03.D01	UA3.152.03.M01	UA3	UA3	3	3	D01	M01	3	1	Dv-E_Mm-E
0.035052706	0.529829789	UA3.152.03.D01	UA3.152.03.M01	UA3	UA3	3	3	D01	M01	3	1	Dv-E_Mm-E
0.036731966	0.512950903	UA3.152.03.D01	UA3.152.03.M01	UA3	UA3	3	3	D01	M01	3	1	Dv-E_Mm-E
0.037293194	0.543373181	UA3.152.03.D02	UA3.152.03.M02	UA3	UA3	3	3	D02	M02	3	2	Dv-E_Mm-E
0.036811053	0.531934877	UA3.152.03.D02	UA3.152.03.M02	UA3	UA3	3	3	D02	M02	3	2	Dv-E_Mm-E
0.03610148	0.518852201	UA3.152.03.D02	UA3.152.03.M02	UA3	UA3	3	3	D02	M02	3	2	Dv-E_Mm-E
0.037634716	0.514612554	UA3.152.03.D03	UA3.152.03.M03	UA3	UA3	3	3	D03	M03	3	3	Dv-E_Mm-E
0.038233092	0.503938062	UA3.152.03.D03	UA3.152.03.M03	UA3	UA3	3	3	D03	M03	3	3	Dv-E_Mm-E
0.036357211	0.506233598	UA3.152.03.D03	UA3.152.03.M03	UA3	UA3	3	3	D03	M03	3	3	Dv-E_Mm-E
0.037354701	0.511930701	UA3.152.03.D03	UA3.152.03.M03	UA3	UA3	3	3	D03	M03	3	3	Dv-E_Mm-E
0.037468176	0.498967666	UA3.152.09.D01	UA3.152.09.M01	UA3	UA3	9	9	D01	M01	9	1	Dv-E_Mm-E
0.034786535	0.509110621	UA3.152.09.D01	UA3.152.09.M01	UA3	UA3	9	9	D01	M01	9	1	Dv-E_Mm-E
0.028858317	0.493810364	UA3.152.09.D01	UA3.152.09.M01	UA3	UA3	9	9	D01	M01	9	1	Dv-E_Mm-E
0.026874139	0.511860164	UA3.152.09.D02	UA3.152.09.M02	UA3	UA3	9	9	D02	M02	9	2	Dv-E_Mm-E
0.022006506	0.492991602	UA3.152.09.D02	UA3.152.09.M02	UA3	UA3	9	9	D02	M02	9	2	Dv-E_Mm-E
0.022678588	0.50766822	UA3.152.09.D02	UA3.152.09.M02	UA3	UA3	9	9	D02	M02	9	2	Dv-E_Mm-E
0.025321405	0.490461363	UA3.152.09.D02	UA3.152.09.M02	UA3	UA3	9	9	D02	M02	9	2	Dv-E_Mm-E
0.023458005	0.489533541	UA3.152.09.D03	UA3.152.09.M03	UA3	UA3	9	9	D03	M03	9	3	Dv-E_Mm-E
0.023786449	0.490137719	UA3.152.09.D03	UA3.152.09.M03	UA3	UA3	9	9	D03	M03	9	3	Dv-E_Mm-E
0.023106204	0.453567172	UA3.152.09.D03	UA3.152.09.M03	UA3	UA3	9	9	D03	M03	9	3	Dv-E_Mm-E
0.008578937	0.330691465	UA3.152.03.M01	WT.0.*.D01	UA3	WT	3	*	M01	Dan	3	1	Dv-A_Mm-E
0.008197134	0.34521306	UA3.152.03.M01	WT.0.*.D01	UA3	WT	3	*	M01	Dan	3	1	Dv-A_Mm-E
0.009259643	0.358109525	UA3.152.03.M01	WT.0.*.D01	UA3	WT	3	*	M01	Dan	3	1	Dv-A_Mm-E
0.009098416	0.335505285	UA3.152.09.M03	WT.0.*.D01	UA3	WT	9	*	M03	Dan	9	3	Dv-A_Mm-E
0.009144062	0.366138254	UA3.152.09.M03	WT.0.*.D01	UA3	WT	9	*	M03	Dan	9	3	Dv-A_Mm-E
0.010983985	0.393359558	UA3.152.09.M03	WT.0.*.D01	UA3	WT	9	*	M03	Dan	9	3	Dv-A_Mm-E
0.00964118	0.350540255	UA3.152.09.M03	WT.0.*.D01	UA3	WT	9	*	M03	Dan	9	3	Dv-A_Mm-E
0.008579519	0.340227208	UA3.152.09.M01	WT.0.*.D01	UA3	WT	9	*	M01	Dan	9	1	Dv-A_Mm-E
0.009520206	0.355850465	UA3.152.09.M01	WT.0.*.D01	UA3	WT	9	*	M01	Dan	9	1	Dv-A_Mm-E
0.017629102	0.36521566	UA3.152.09.M01	WT.0.*.D01	UA3	WT	9	*	M01	Dan	9	1	Dv-A_Mm-E
0.001928969	0.087669415	UA3.152.09.M02	WT.0.*.D01	UA3	WT	9	*	M02	Dan	9	2	Dv-A_Mm-E
0.006204437	0.145790287	UA3.152.03.D01	WT.0.*.M01	UA3	WT	3	*	D01	Man	3	1	Dv-E_Mm-A
0.017163646	0.37857748	UA3.152.03.D01	WT.0.*.M01	UA3	WT	3	*	D01	Man	3	1	Dv-E_Mm-A
0.0176272	0.388101909	UA3.152.03.D01	WT.0.*.M01	UA3	WT	3	*	D01	Man	3	1	Dv-E_Mm-A
0.01688129	0.38840081	UA3.152.03.D01	WT.0.*.M01	UA3	WT	3	*	D01	Man	3	1	Dv-E_Mm-A
0.018132925	0.390723235	UA3.152.03.D02	WT.0.*.M01	UA3	WT	3	*	D02	Man	3	2	Dv-E_Mm-A
0.022887667	0.392658066	UA3.152.03.D02	WT.0.*.M01	UA3	WT	3	*	D02	Man	3	2	Dv-E_Mm-A
0.021085917	0.388145395	UA3.152.03.D02	WT.0.*.M01	UA3	WT	3	*	D02	Man	3	2	Dv-E_Mm-A
0.018569385	0.39372792	UA3.152.03.D02	WT.0.*.M01	UA3	WT	3	*	D02	Man	3	2	Dv-E_Mm-A
0.023974163	0.413222343	UA3.152.03.D03	WT.0.*.M01	UA3	WT	3	*	D03	Man	3	3	Dv-E_Mm-A
0.027119943	0.407806963	UA3.152.03.D03	WT.0.*.M01	UA3	WT	3	*	D03	Man	3	3	Dv-E_Mm-A
0.023743316	0.410599521	UA3.152.03.D03	WT.0.*.M01	UA3	WT	3	*	D03	Man	3	3	Dv-E_Mm-A
